"","actor.followersCount","actor.friendsCount","actor.languages","actor.link","actor.preferredUsername","actor.statusesCount","body","generator.displayName","lat","lon","gnip.klout_score","inReplyTo.link","link","object.actor.displayName","object.actor.followersCount","object.actor.preferredUsername","object.actor.statusesCount","object.twitter_entities.hashtags.text","postedTime","day","hour","min","sec","comboTime","retweetCount","twitter_entities.hashtags.text","twitter_entities.user_mentions.screen_name","verb"
"193523",1026,885,"en","http://www.twitter.com/LaurenRocsiMae","LaurenRocsiMae","31300","RT @Simply_Dev327: havent been to class since oct 26 and its still not definite when were goin back #hurricanesandy","Twitter for iPhone","40.27774799","-74.6686905","42","http://twitter.com/Simply_Dev327/statuses/264857110209232898","http://twitter.com/LaurenRocsiMae/statuses/264857603492937728","","","","","","2012-11-03T22:32:28.000Z",3,22,32,28,"11-03 22:32","0","hurricanesandy","Simply_Dev327","post"
"90407",138,43,"en","http://www.twitter.com/justinocello","justinocello","616","1+ about this storm... I don't have to watch presidential election news and ads! #Sandy","Twitter for iPhone","43.11281945","-77.7869889","45","","http://twitter.com/justinocello/statuses/263057525233029120","","","","","","2012-10-29T23:19:36.000Z",29,23,19,36,"10-29 23:19","0","Sandy","","post"
"58592",81,400,"en","http://www.twitter.com/Evildead93","Evildead93","396","I knew a girl named sandy... She blew everything too. A little #hurricanehumour","Twitter for Android","47.5564676","-52.7636831","32","","http://twitter.com/Evildead93/statuses/262953024727699457","","","","","","2012-10-29T16:24:21.000Z",29,16,24,21,"10-29 16:24","","hurricanehumour","","post"
"50524",79,87,"es","http://www.twitter.com/AuraSerres","AuraSerres","183","Disfrutando de la visita de #sandy ????????? @ West new york http://t.co/JmHsRH6l","Instagram","40.7896017","-74.02308381","21","","http://twitter.com/AuraSerres/statuses/262914723803181056","","","","","","2012-10-29T13:52:09.000Z",29,13,52,9,"10-29 13:52","","sandy","","post"
"130232",306,194,"en","http://www.twitter.com/LewisGardner123","LewisGardner123","2432","So there's sharks swimming about New York #sandy #deepseaworld http://t.co/b7w5Bs0j","Twitter for iPhone","55.96995493","-3.22448239","44","","http://twitter.com/LewisGardner123/statuses/263309567348338688","","","","","","2012-10-30T16:01:08.000Z",30,16,1,8,"10-30 16:01","","sandy,deepseaworld","","post"
"78403",241,300,"en","http://www.twitter.com/AshleiMilligan","AshleiMilligan","10619","All I'm saying. I'm not going into work tmrw. Sandy is gonna get too intense.","Twitter for iPhone","39.99307214","-76.35732461","34","","http://twitter.com/AshleiMilligan/statuses/263024752925503488","","","","","","2012-10-29T21:09:22.000Z",29,21,9,22,"10-29 21:09","","","","post"
"135313",63,70,"en","http://www.twitter.com/SadiaAlirahi","SadiaAlirahi","546","This is how we spend powerless after sandy effects #hurricanesandy #food #eat #sandy #hu @ old country road http://t.co/CQctpQi4","Instagram","41.06615448","-73.81087494","40","","http://twitter.com/SadiaAlirahi/statuses/263348547062202368","","","","","","2012-10-30T18:36:01.000Z",30,18,36,1,"10-30 18:36","","hurricanesandy,food","","post"
"110161",3088,399,"en","http://www.twitter.com/johncolucci","johncolucci","9726","Pray for everyone in #Sandy's path. This storm isn't kidding around.","Twitter for iPhone","37.26842124","-121.8332665","62","","http://twitter.com/johncolucci/statuses/263121029365383169","","","","","","2012-10-30T03:31:56.000Z",30,3,31,56,"10-30 03:31","0","Sandy","","post"
"134579",47,44,"en","http://www.twitter.com/MadeInEssex","MadeInEssex","2093","Sandy was an 'act of God' America to send troops to Heaven after flooding classed as Terrorist attack on U.S soil by deity. #sandy #storm","Twitter for Android","56.49317545","-2.96412287","31","","http://twitter.com/MadeInEssex/statuses/263342150404698112","","","","","","2012-10-30T18:10:35.000Z",30,18,10,35,"10-30 18:10","","sandy,storm","","post"
"172455",77,179,"en","http://www.twitter.com/KRProductions","KRProductions","816","AL utility crews turned away in NJ because they're non-union.  What? #Sandy","Twitter for Android","34.6055008","-87.0313189","22","","http://twitter.com/KRProductions/statuses/264333566874382336","","","","","","2012-11-02T11:50:08.000Z",2,11,50,8,"11-02 11:50","","Sandy","","post"
"40845",889,1557,"en","http://www.twitter.com/RealityTvEveBOP","RealityTvEveBOP","14694","?@Canadian88: What a pic! GOES View of Hurricane #Sandy : Natural Hazards http://t.co/AT9Xvc1y #NASA? http://t.co/C1bt3uKH","Twitter for iPhone","32.52960018","-94.78240751","41","","http://twitter.com/RealityTvEveBOP/statuses/262759477080637440","","","","","","2012-10-29T03:35:16.000Z",29,3,35,16,"10-29 03:35","0","Sandy,NASA","Canadian88","post"
"199246",1015,894,"en","http://www.twitter.com/GAC_Fan4Ever04","GAC_Fan4Ever04","27225","I'm trying to remember everybody who could have been affected by hurricane Sandy!","Twitter for iPhone","34.61911082","-92.3497653","48","","http://twitter.com/GAC_Fan4Ever04/statuses/265249861597798400","","","","","","2012-11-05T00:31:09.000Z",5,0,31,9,"11-05 00:31","0","","","post"
"110373",32,34,"en","http://www.twitter.com/Burcincim","Burcincim","554","I'm at Frankenstorm Apocalypse 2012 - Hurricane Sandy (Boston, MA) w/ 254 others http://t.co/ReFHv6Bm","foursquare","42.36344323","-71.05757475","29","","http://twitter.com/Burcincim/statuses/263121782591074304","","","","","","2012-10-30T03:34:56.000Z",30,3,34,56,"10-30 03:34","0","","","post"
"70755",120,123,"en","http://www.twitter.com/thedoubledipper","thedoubledipper","2605","Hope everyone is doing well on the east coast. #HuricaneSandy #staysafe","Twitter for iPhone","33.42321143","-111.9316482","32","","http://twitter.com/thedoubledipper/statuses/262999914689216512","","","","","","2012-10-29T19:30:40.000Z",29,19,30,40,"10-29 19:30","","HuricaneSandy,staysafe","","post"
"144211",394,557,"en","http://www.twitter.com/Rosemaryrr","Rosemaryrr","1351","Walter White by candlelight #sandy   @ Frankenstorm Apocalypse - Hurricane Sandy http://t.co/QFbU7FoT","Instagram","40.79301881","-73.79379272","41","","http://twitter.com/Rosemaryrr/statuses/263432082313842688","","","","","","2012-10-31T00:07:57.000Z",31,0,7,57,"10-31 00:07","0","sandy","","post"
"146960",324,593,"en","http://www.twitter.com/cherrykk","cherrykk","15100","Hurricane Sandy in Thailand? @ ????????????????????????? (Suankularb Wittayalai School) http://t.co/qH4QL7zG","Instagram","13.7430327","100.4980481","42","","http://twitter.com/cherrykk/statuses/263469099580010496","","","","","","2012-10-31T02:35:03.000Z",31,2,35,3,"10-31 02:35","0","","","post"
"75959",560,316,"en","http://www.twitter.com/CraigNoFridayy","CraigNoFridayy","36167","The Hurricane Sandy twitter account is too funny","Twitter for iPhone","29.71910989","-95.34661369","42","","http://twitter.com/CraigNoFridayy/statuses/263017140314071040","","","","","","2012-10-29T20:39:07.000Z",29,20,39,7,"10-29 20:39","0","","","post"
"144006",145,362,"en","http://www.twitter.com/rshah05","rshah05","1273","@cnnbrk my #prayers go out to all in #newyork #usa #sandy hope this terrible #hurricane stops quickly","Twitter for iPhone","51.91570188","-0.42463398","42","http://twitter.com/cnnbrk/statuses/263407945151287296","http://twitter.com/rshah05/statuses/263429367844188162","","","","","","2012-10-30T23:57:10.000Z",30,23,57,10,"10-30 23:57","","prayers,newyork","cnnbrk","post"
"81284",189,281,"en","http://www.twitter.com/Danny_Reno27","Danny_Reno27","1418","No fuckin way... ""@LBINow: UPDATE: Ferris Wheel blew over. #lbi #lbisandy #fantasyisland"" @Vin_Reno @serao_11","Twitter for Android","40.4124291","-74.0982952","39","","http://twitter.com/Danny_Reno27/statuses/263033583516663808","","","","","","2012-10-29T21:44:27.000Z",29,21,44,27,"10-29 21:44","","lbi,lbisandy","LBINow,Vin_Reno","post"
"105986",4,19,"en","http://www.twitter.com/ogptmare85","ogptmare85","207","#Sandy bxn i love you guys @sharenywqengram @eleonorttucker @riaubsales @tonanbtruelove great times","dlvr.it","38.27478076","-121.0050781","10","","http://twitter.com/ogptmare85/statuses/263107339178106880","","","","","","2012-10-30T02:37:32.000Z",30,2,37,32,"10-30 02:37","","Sandy","sharenywqengram,eleonorttucker","post"
"86510",243,242,"en","http://www.twitter.com/SNKRFANATIC15","SNKRFANATIC15","2276","Eating in the dark is always fun. #sandy #hurricanesandy #lantern #pepsi  @ BatCave http://t.co/pZm3Xfnq","Instagram","40.87133026","-73.53695679","42","","http://twitter.com/SNKRFANATIC15/statuses/263047429065166848","","","","","","2012-10-29T22:39:28.000Z",29,22,39,28,"10-29 22:39","0","sandy,hurricanesandy","","post"
"136116",91,187,"en","http://www.twitter.com/1903barisdamci","1903barisdamci","2685","#Sandy http://t.co/dMY4wiEv","Twitter for iPhone","39.79559036","-74.93305723","","","http://twitter.com/1903barisdamci/statuses/263355654075461632","","","","","","2012-10-30T19:04:16.000Z",30,19,4,16,"10-30 19:04","","Sandy","","post"
"12722",437,96,"en","http://www.twitter.com/SE7E","","3475","Can anyone tell #Sandy that I live in Massachusetts (New England), and already have to deal with freezing temperatures and #blizzards?!","Twitter for Android","41.68682234","-71.16468861","42","","http://twitter.com/SE7E/statuses/262320288027533312","","","","","","2012-10-27T22:30:04.000Z",27,22,30,4,"10-27 22:30","0","Sandy,blizzards","","post"
"73596",178,158,"en","http://www.twitter.com/J_Weinberg","J_Weinberg","1253","Get off Hurricane Sandy's vagina she isn't funny","Twitter for iPhone","38.41290117","-82.24386853","40","","http://twitter.com/J_Weinberg/statuses/263009627313147904","","","","","","2012-10-29T20:09:16.000Z",29,20,9,16,"10-29 20:09","","","","post"
"154084",21,137,"en","http://www.twitter.com/SonyaMagana87","SonyaMagana87","383","If the president paid as much attention to Benghazi as  he is to hurricane sandy, perhaps the out come would have between different","Twitter for Android","33.86123587","-84.32115121","17","","http://twitter.com/SonyaMagana87/statuses/263640646181584896","","","","","","2012-10-31T13:56:42.000Z",31,13,56,42,"10-31 13:56","","","","post"
"100398",3,15,"en","http://www.twitter.com/ildxuisfry","ildxuisfry","201","#Sandy bxn i love you guys @sharenywqengram @eleonorttucker @riaubsales @tonanbtruelove great times","dlvr.it","29.23121573","-96.57148438","13","","http://twitter.com/ildxuisfry/statuses/263083806402170883","","","","","","2012-10-30T01:04:01.000Z",30,1,4,1,"10-30 01:04","","Sandy","sharenywqengram,eleonorttucker","post"
